claim_id,short_name,source_audits,evidence_class,mathematical_status,novelty_status,priority,frozen_owner,combinatorics_decision,combinatorics_section,combinatorics_form,foundational_decision,foundational_section,foundational_form,allowed_claim,forbidden_overclaim,physical_status
MF-R001,Degree data do not determine the audited structural profile,A3,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL_FINITE_COMPUTATION; DEFINITIONS NEED FORMALIZATION,P1,COMBINATORICS_SUPPLEMENT,SUPPLEMENT,Supplement S1,RELATED_FINITE_ENUMERATION,EXCLUDE,,,Degree information is insufficient for the particular structural observables audited at n=5.,"A general asymptotic theorem, or a claim that degree data never identify any relevant structure.",COMBINATORIAL ONLY
MF-R002,Exact finite rate-distortion curves inside degree fibers,A4,EXACT_FINITE_OPTIMIZATION,EXACT_FINITE_COMPUTATION,APPLICATION OF CLASSICAL THEORY; NO GENERAL NOVELTY CLAIM,P3,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The stated finite optimization results are exact for the declared controls.,A new general rate-distortion theorem or a physical information law.,COMBINATORIAL / INFORMATION-THEORETIC
MF-R003,Finite projective-family polytope is a simplex,A5,PROOF + EXACT_ENUMERATION,PROVED_FOR_DECLARED_FINITE_SYSTEM,LIKELY DIRECT COROLLARY OF PROJECTIVE KERNEL CONSTRUCTION,P2,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,Finite projectivity alone leaves the top-level distribution unconstrained and therefore does not select a unique law.,"That projectivity never constrains infinite families, or that the result is a new extension theorem.",FOUNDATIONAL MATHEMATICS
MF-R004,Exchangeability and projectivity do not select a unique graph law,A6,CONSTRUCTIVE_COUNTERFAMILY,PROVED_BY_EXPLICIT_FAMILY,CLASSICAL COUNTEREXAMPLE / DIRECT APPLICATION,P2,REPOSITORY_ONLY,EXCLUDE,,,EXCLUDE,,,The listed symmetries and finite projectivity are insufficient for unique law selection.,A claim that no additional principled axiom could select a law.,FOUNDATIONAL MATHEMATICS
MF-R005,Condensation of a digraph defines a partial order,"A8, A8.1",CLASSICAL_THEOREM,PROVED / STANDARD,"CLASSICAL; ATTRIBUTE, DO NOT CLAIM NOVELTY",P0,COMBINATORICS,MAIN,2. Definitions and Encoding Levels,BACKGROUND_PROPOSITION,EXCLUDE,,,A directed relation canonically induces an internal quotient order through SCC condensation.,"Discovery of the SCC condensation theorem, physical time, or a unique temporal arrow.",ORDINAL STRUCTURE ONLY
MF-R006,Full reachability preorder encodes SCC partition and quotient order,A8.1,DIRECT_COROLLARY,PROVED,LIKELY CLASSICAL / ELEMENTARY COROLLARY,P0,COMBINATORICS,MAIN,2. Definitions and Encoding Levels,LEMMA,EXCLUDE,,,The full labeled reachability preorder is an injective representation of the complete labeled condensation structure.,That the representation is a newly discovered graph invariant.,COMBINATORIAL ONLY
MF-R007,Count of full labeled condensation preorders,A8.1,COMBINATORIAL_PROOF + EXACT_ENUMERATION,PROVED,CLASSICAL ENUMERATION FORMULA; PROJECT CONTRIBUTION IS INDEPENDENT REPRODUCTION AND CORRECTIVE APPLICATION,P0,COMBINATORICS,MAIN,3. Classical Count and Independent Reproduction,ATTRIBUTED_BACKGROUND_THEOREM,EXCLUDE,,,"The classical formula is independently rederived and exhaustively reproduced at n=5, and it is used to diagnose the earlier 5,234 encoding ambiguity.","A new formula for labeled preorders, a new value 6,942, or discovery of the preorder/topology correspondence.",COMBINATORIAL ONLY
MF-R008,Count of minimum-representative quotient-poset codes,A8.1,COMBINATORIAL_PROOF + EXACT_ENUMERATION,PROVED,PROJECT-SPECIFIC ELEMENTARY ENUMERATION; NO EXACT MATCH FOUND IN C1 SEARCH; PRIORITY NOT CERTIFIED,P0,COMBINATORICS,MAIN,4. Representative Encoding and Exact Count,PROPOSITION,EXCLUDE,,,The project defines a minimum-representative quotient-poset code and derives its exact shifted-binomial count.,A definitively first or deep general enumeration theorem.,COMBINATORIAL ONLY
MF-R009,Minimum-representative code is not injective,A8.1,CONSTRUCTIVE_COUNTEREXAMPLE,PROVED,PROJECT-SPECIFIC CORRECTIVE RESULT,P0,COMBINATORICS,MAIN,4. Representative Encoding and Exact Count,COUNTEREXAMPLE_AND_CORRECTION,EXCLUDE,,,The earlier wording was ambiguous because the implementation discarded SCC membership information.,Calling the discrepancy fabrication or treating all A8 outputs as invalid.,COMBINATORIAL / REPRODUCIBILITY
MF-R010,Three distinct equivalence levels at n=5,A8.1,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL REPRODUCTION / CORRECTIVE ENUMERATION,P0,COMBINATORICS,MAIN,5. Exact n=5 Structure and Fiber Data,EXACT_ENUMERATION,EXCLUDE,,,These exact finite counts distinguish three well-defined quotient levels.,An asymptotic result or a physical prediction.,COMBINATORIAL ONLY
MF-R011,Single-edge flip changes the n=5 condensation preorder with probability 75/256,"A8, A8.1",EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,APPARENTLY UNREPORTED EXACT FINITE SENSITIVITY STATISTIC; NOVELTY NOT CERTIFIED,P0,COMBINATORICS,MAIN,6. Edge-Toggle Sensitivity,DEFINITION_AND_EXACT_ENUMERATION,EXCLUDE,,,"For the explicitly defined uniform graph-edge ensemble, exhaustive enumeration yields P2=1, P3=3/4, P4=1/2, and P5=75/256.","A general law, asymptotic theorem, universal constant, or categorical first-ever claim.",COMBINATORIAL ONLY
MF-R012,Candidate clocks are monotone on comparable pairs,A9,PROOF/ALGORITHMIC CHECK + EXACT_ENUMERATION,FINITE-CASE VERIFIED; GENERAL PARTS MOSTLY STANDARD,MOSTLY CLASSICAL POSITIVITY/MONOTONICITY,P1,FUTURE_ORDINAL,EXCLUDE_FUTURE_ORDINAL_PAPER,,,EXCLUDE,,,These functions provide legitimate ordinal coordinates on comparable pairs.,"A unique clock, calibrated time, physical duration, or preferred temporal orientation.",ORDINAL ONLY
MF-R013,Internal order does not select a unique scalar clock,A9,EXACT_ENUMERATION + COUNTEREXAMPLES,EXACT_FINITE_COMPUTATION,PROJECT-SPECIFIC FINITE NONUNIQUENESS RESULT,P1,FUTURE_ORDINAL,EXCLUDE_FUTURE_ORDINAL_PAPER,,,EXCLUDE,,,The condensation order alone does not choose among these natural scalarizations.,"No scalar clock can ever be defined, or physical time is impossible.",ORDINAL ONLY
MF-R014,Longest-chain duration is highly but not universally additive,A10,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL FINITE STATISTICS; DEFINITIONS CLASSICAL,P1,FUTURE_ORDINAL,EXCLUDE_FUTURE_ORDINAL_PAPER,,,EXCLUDE,,,Longest-chain depth is the strongest audited ordinal duration candidate at this finite size.,"Proper time, a physical metric, exact additivity in general, or continuum scaling.",ORDINAL ONLY
MF-R015,No single multiplicative scale preserves all chain durations in the stated quotient example,A10,CONSTRUCTIVE_COUNTEREXAMPLE,PROVED,ELEMENTARY PROJECT-SPECIFIC COUNTEREXAMPLE,P2,FUTURE_ORDINAL,EXCLUDE_FUTURE_ORDINAL_PAPER,,,EXCLUDE,,,Naive quotienting does not preserve all ordinal durations by a single scale factor.,A universal impossibility for every possible duration coarse-graining.,ORDINAL / COARSE-GRAINING
