claim_id,section_file,location,classification,safe_claim,reviewer_verdict,severity,assumptions_complete,proof_valid,attribution_adequate,scope_safe,reviewer_notes
MF-R023,02_order_identifiability.md,Lemma 2.1,CLASSICAL_BACKGROUND,Order unchanged by coordinatewise strictly increasing maps,,,,,,,
MF-R024,02_order_identifiability.md,Proposition 2.2,ATTRIBUTED_COROLLARY,Order law depends at most on the copula under stated assumptions,,,,,,,
MF-R025,02_order_identifiability.md,Proposition 2.3,FRAMEWORK_COROLLARY,Non-order information is necessary for non-fiber-constant targets,,,,,,,
MF-R028,03_quantitative_structure_q.md,Proposition 3.1,FRAMEWORK_CONDITIONAL_RESULT,q adds information only if its marked law is not determined by R,,,,,,,
MF-R033,04_operational_kernels.md,Proposition 4.2,EXACT_PROJECT_CONSTRUCTION,Locality and affine invariance admit infinitely many K_f,,,,,,,
MF-R034,04_operational_kernels.md,Proposition 4.3,ATTRIBUTED_CLASSICAL_THEOREM,Difference-only continuous odds select the exponential family,,,,,,,
MF-R036,04_operational_kernels.md,Lemma 4.4,ATTRIBUTED_ELEMENTARY_COROLLARY,Nontrivial continuous cardinal differences cannot satisfy all three stated demands,,,,,,,
MF-R037,05_measure_and_refinement.md,Proposition 5.2,EXACT_PROJECT_RESULT,Base mass removes naive clone-count dependence,,,,,,,
MF-R039,05_measure_and_refinement.md,Proposition 5.1,PROJECT_FORMULATION,Extra refinement semantics are required,,,,,,,
MF-R041,05_measure_and_refinement.md,Section 5.4,ATTRIBUTED_EXTENSION,Terminal leaves are not required,,,,,,,
MF-R046,06_static_aggregation.md,Proposition 6.1,ATTRIBUTED_CLASSICAL_IDENTITY,Mass plus Q_lambda is an exact static message,,,,,,,
MF-R047,06_static_aggregation.md,Lemma 6.2,ATTRIBUTED_CLASSICAL_IDENTITY,Q_lambda(aq+c)=c+aQ_{a lambda},,,,,,,
MF-R048,07_dynamic_nonclosure.md,Proposition 7.1,EXACT_FRAMEWORK_COROLLARY,"For the declared mass-normalized centered contraction, Q'_lambda=(1-a)q_bar_mu+aQ_{a lambda}.",,,,,,,
MF-R049,07_dynamic_nonclosure.md,Proposition 7.2,CENTRAL_PROJECT_COUNTEREXAMPLE,Mass-normalized mean plus one Q value does not close the unrestricted finite class.,,,,,,,
MF-R058,08_coarse_graining.md,Section 8.2,ATTRIBUTED_CHARACTERIZATION,Arithmetic and exponential families survive stated regularity,,,,,,,
MF-R059,06_static_aggregation.md;08_coarse_graining.md,Proposition 6.1; Section 8.3,EXACT_FRAMEWORK_IDENTITY,Mass and Q preserve the exponential observable,,,,,,,
MF-R061,08_coarse_graining.md,Section 8.4,ATTRIBUTED_MARKOV_FACT,Macro kernel needs occupancy unless lumpable,,,,,,,
MF-R062,08_coarse_graining.md,Proposition 8.1,EXACT_CONSTRUCTION,Joint flow aggregates exactly,,,,,,,
MF-R063,08_coarse_graining.md,Section 8.6,FRAMEWORK_SYNTHESIS,Exact summaries are relative to preservation contracts,,,,,,,
MF-R067,09_informational_architecture.md,Sections 9.1–9.9,CENTRAL_SYNTHESIS,"R,q,mu,K,pi are relatively sufficient for the studied operations",,,,,,,
MF-R069,09_informational_architecture.md,Section 9.10,MANDATORY_NONCLAIM,"No spacetime, gravity, calibration, or empirical mapping is derived",,,,,,,
