claim_id,short_name,role,section,rhetorical_form,source_audits,evidence_class,mathematical_status,novelty_status,citation_requirement,allowed_claim,forbidden_overclaim,readiness,editorial_note
MF-R023,Strict coordinatewise monotone transforms preserve product order,MAIN,2. Order-Only Identifiability,BACKGROUND_LEMMA,A18.2,CLASSICAL_IDENTITY + SOFTWARE_REGRESSION,PROVED / DEFINITIONAL,"CLASSICAL; ATTRIBUTE, DO NOT CLAIM NUMERICAL VALIDATION AS EVIDENCE",MANDATORY_CLASSICAL_ATTRIBUTION,Order-only data are invariant under monotone recalibration of latent marginals.,A new theorem established by 270 simulations.,READY_FOR_DRAFT,One proof paragraph; simulations are regression checks only.
MF-R024,"The induced order law depends on the copula, not continuous marginals",MAIN,2. Order-Only Identifiability,ATTRIBUTED_COROLLARY,A19,DIRECT_COROLLARY OF SKLAR,PROVED,CLASSICAL COROLLARY APPLIED TO PREGEOMETRY,MANDATORY_CLASSICAL_ATTRIBUTION,Order observations cannot identify latent marginal scales within a fixed copula class.,A new copula theorem or recovery of spacetime measure from order alone.,READY_FOR_DRAFT,Attribute directly to copula invariance/Sklar.
MF-R025,No deterministic order-only estimator can distinguish monotone-equivalent latent models,MAIN,2. Order-Only Identifiability,IDENTIFIABILITY_PROPOSITION,"A18.2, A19",IDENTIFIABILITY_THEOREM,PROVED,DIRECT INFORMATION-THEORETIC COROLLARY; FRAMEWORK APPLICATION,PRIOR_CONTEXT_REQUIRED,Additional non-order information is necessary to identify latent marginal quantities.,That every physically relevant measure is forever unrecoverable from any enriched relational model.,READY_FOR_DRAFT,Use as the first obstruction motivating extra primitives.
MF-R028,An independent q field can evade the order-only identifiability limit,MAIN,3. Additional Quantitative Structure q,CONDITIONAL_PROPOSITION,A23,CONDITIONAL_PROPOSITION,PROVED CONDITIONALLY,FRAMEWORK-SPECIFIC CONSEQUENCE,PRIOR_CONTEXT_REQUIRED,q can supply relative quantitative information absent from order.,That the physical origin or empirical meaning of q has been derived.,READY_FOR_DRAFT,"State q as an added primitive, not an emergent physical field."
MF-R029,Global q offset is unobservable under contrast-only constructions,MAIN,3. Additional Quantitative Structure q,GAUGE_CONTRACT,A23,DIRECT_COROLLARY FROM DEFINITIONS,PROVED,DEFINITIONAL; NO NOVELTY CLAIM,PRIOR_CONTEXT_REQUIRED,The current construction determines q only up to a global offset.,"A deep independent no-go, or proof that nature has this gauge.",READY_FOR_DRAFT,Define the gauge contract before using q operationally.
MF-R031,Exponential transition log-odds encode q contrasts,MAIN,4. Operational Kernels and Parameter Status,ATTRIBUTED_MODEL_IDENTITY,A24.1,EXACT_IDENTITY + SYNTHETIC RECOVERY,PROVED FOR DECLARED KERNEL,CLASSICAL MULTINOMIAL-LOGIT IDENTITY APPLIED TO q,MANDATORY_CLASSICAL_ATTRIBUTION,The exponential kernel makes q contrasts operational in transition odds.,That the kernel or beta follows from the RZS primitives.,READY_FOR_DRAFT,Call the exponential kernel a candidate operational model.
MF-R032,Raw q scale and exponential strength are jointly degenerate,MAIN,4. Operational Kernels and Parameter Status,IDENTIFIABILITY_LEMMA,"A24.1, A27",EXACT_IDENTIFIABILITY_ARGUMENT,PROVED,STANDARD PARAMETERIZATION DEGENERACY,PRIOR_CONTEXT_REQUIRED,Only the product of raw-score scale and coupling strength is identifiable without calibration.,That lambda is always pure gauge after any normalization.,READY_FOR_DRAFT,Distinguish raw q-scale degeneracy from standardized lambda identifiability.
MF-R033,Scale-free standardized q scores admit infinitely many local kernels,MAIN,4. Operational Kernels and Parameter Status,UNDERDETERMINATION_PROPOSITION,A25,CONSTRUCTIVE_FAMILY,PROVED BY EXPLICIT INFINITE FAMILY,LIKELY ELEMENTARY UNDERDETERMINATION; PROJECT APPLICATION,PRIOR_CONTEXT_REQUIRED,The audited symmetry and locality principles leave the kernel law underdetermined.,That no additional axiom can select a law.,READY_FOR_DRAFT,Show why locality and symmetry alone leave infinitely many kernels.
MF-R034,Difference-based odds and IIA select an exponential score family,MAIN,4. Operational Kernels and Parameter Status,ATTRIBUTED_CLASSICAL_THEOREM,A26,FUNCTIONAL_EQUATION,PROVED UNDER REGULARITY ASSUMPTIONS,CLASSICAL LUCE / CAUCHY RESULT; ATTRIBUTE,MANDATORY_CLASSICAL_ATTRIBUTION,These axioms narrow the family to exponentials but do not fix lambda.,A wholly new derivation of multinomial logit or proof that nature obeys IIA.,READY_FOR_DRAFT,Classical Luce/functional-equation result; no novelty claim.
MF-R035,"After local standardization, lambda is an identifiable dimensionless model parameter but remains underived",MAIN,4. Operational Kernels and Parameter Status,MODEL_STATUS_PROPOSITION,A27,IDENTIFIABILITY_PROPOSITION + MONTE_CARLO,CONDITIONAL / COMPUTATIONALLY SUPPORTED,PROJECT-SPECIFIC MODEL-STATUS RESULT,PRIOR_CONTEXT_REQUIRED,lambda is not removable after standardization and must be estimated or derived separately.,A fundamental constant or a value predicted by the current theory.,READY_FOR_DRAFT,"lambda remains estimated or externally derived, never predicted here."
